titulo,valoracion,precio,ventas,disponibles,envio,tienda,valorizacion,ventas_vendedor
Alienware M15 R3 15.6 | I7 10th Gen | 2070 8gb | 16gb,,5500 soles,Nuevo,,Envío gratis,,,
Alienware M15 R3 Gaming 17.3 Core I9 Win 10 Pro 2tb Ssd 32g,,4000 soles,Nuevo,,Envío gratis,,,
Laptop Lenovo Thinkpad E16 Ryzen 5 8gb 512gb Ssd 16 Wuxga,,3699 soles,Nuevo,(10 disponibles),Envío gratis,,MercadoLíder Gold,+1000
Laptop Hp 250 G9 Core I3 12va Generacion 8gb+512gb 15.6,,1699 soles,Nuevo,(10 disponibles),Envío gratis,,MercadoLíder Gold,+500
Laptop Gaming Dell Latitude 5530 15.6' 1920 X 1080 I5 8gb,,3099 soles,Nuevo,,Envío gratis,,MercadoLíder Gold,+1000
Laptop Lenovo Gamer 15iah7 15.6' Ips I5 12va 8gb 512gb V4gb,,3937 soles con 80 céntimos,Nuevo,,Envío gratis,,MercadoLíder Gold,+1000
Laptop Lenovo Ideapad 3 I5 12gb Ram 512gb Ssd 15.6 Fhd,,2103 soles,Nuevo,(126 disponibles),Envío gratis,,MercadoLíder Gold,+100
Vivobook 144hz Asus Rtx 3070 15.6 R9 32gb 1tb Ssd W11,,7140 soles con 90 céntimos,Nuevo,,Envío gratis,,MercadoLíder Gold,+1000
Laptop Acer An517 17.3 144hz I7 12va 16gb 1tb Ssd V6gb 3060,,5899 soles con 80 céntimos,Nuevo,,Envío gratis,,MercadoLíder Gold,+1000
Laptop Lenovo Thinkpad P15s Gen2 15.6 Fhd I7 11va 4.8ghz 32,,9265 soles con 80 céntimos,Nuevo,,Envío gratis,,MercadoLíder Gold,+1000
"Notebook Asus G713rw-ll039w, 17.3 Wqhd Ips, Amd Ryzen 9",,10687 soles,Nuevo,(16 disponibles),Envío gratis,,MercadoLíder Gold,+100
Laptop Hp Elite Dragonfly G3 13.5 I7 16gb 512gb 1920 X 1280,,9632 soles,Nuevo,,Envío gratis,,MercadoLíder Gold,+1000
Lapotp Hp 2505 15.6' Hd I5 11va 12gb 512ssd W11 Veloz,,3182 soles con 88 céntimos,Nuevo,(2 disponibles),Envío gratis,,MercadoLíder Gold,+1000
Laptop Hp Probook 440 G9 I5 8gb 512gb Ssd W11 Pro 14 Fhd,,4309 soles con 17 céntimos,Nuevo,,Envío gratis,,MercadoLíder Gold,+100
Laptop Hp Icore5 1tb Nvidia Geforce Mx110 - 8gb Ram,,1200 soles,Usado,,Envío gratis,,,
Laptopacer Nitro 5 15.6 I9 11900h 16gb 512 Ssd Rtx 3060 6gb,,7529 soles,Nuevo,(10 disponibles),Envío gratis,,MercadoLíder Gold,+100
